total,urban,rural,urban_2,rural_1,county,long,lat
555561,61551,494010,11.1%,88.9%,Baringo,35.952537,0.512912
891835,132255,759580,14.8%,85.2%,Bomet,35.278005,-0.690131
1375063,298696,1076367,21.7%,78.3%,Bungoma,34.672536,0.737046
743946,122190,621756,16.4%,83.6%,Busia,34.210571,0.428414
369998,53186,316812,14.4%,85.6%,Elgeyo Marakwet,35.564093,0.806011
516212,82921,433291,16.1%,83.9%,Embu,37.653906,-0.5982
623060,146668,476392,23.5%,76.5%,Garissa,40.408457,-0.564679
963794,138051,825743,14.3%,85.7%,Homa Bay,34.411083,-0.640985
143294,62374,80920,43.5%,56.5%,Isiolo,38.614718,0.949302
1660651,252611,1408040,15.2%,84.8%,Kakamega,34.654844,0.308499
590690,228318,362372,38.7%,61.3%,Kericho,35.319833,-0.297842
1673785,1017476,656309,60.8%,39.2%,Kiambu,36.79929,-1.060698
528054,83404,444650,15.8%,84.2%,Kirinyaga,37.302006,-0.517766
1263559,271719,991840,21.5%,78.5%,Kisii,34.766895,-0.782524
968909,507720,461189,52.4%,47.6%,Kisumu,34.953647,-0.167225
1012709,139909,872800,13.8%,86.2%,Kitui,38.376101,-1.519146
399227,99117,300110,24.8%,75.2%,Laikipia,36.814178,0.311627
1098584,571355,527229,52%,48%,Machakos,37.352277,-1.327138
291166,64009,227157,22%,78%,Marsabit,37.76822,2.772167
1591533,190497,1401036,12%,88%,Meru,37.750761,0.159398
917170,311512,605658,34%,66%,Migori,34.42681,-1.008592
892078,145202,746876,16.3%,83.7%,Murang'a,37.035566,-0.804314
3138369,3138369,,100%,0%,Nairobi,36.844534,-1.296975
1603325,735025,868300,45.8%,54.2%,Nakuru,36.036261,-0.385212
752965,102281,650684,13.6%,86.4%,Nandi,35.156125,0.143371
850920,58494,792426,6.9%,93.1%,Narok,35.686784,-1.227452
486975,68303,418672,14%,86%,Nyamira,34.955612,-0.644917
596268,110518,485750,18.5%,81.5%,Nyandarua,36.494076,-0.374727
693558,169617,523941,24.5%,75.5%,Nyeri,36.965186,-0.407168
223947,38664,185283,17.3%,82.7%,Samburu,37.184377,1.183862
842304,90627,751677,10.8%,89.2%,Siaya,34.293463,0.070277
240075,36065,204010,15%,85%,Tana River,39.536272,-1.584971
130098,8535,121563,6.6%,93.4%,Tharaka Nithi,37.882411,-0.227324
818757,167420,651337,20.4%,79.6%,Trans Nzoia,34.949297,1.030597
894179,345559,548620,38.6%,61.4%,Uasin Gishu,35.306307,0.555288
554622,174105,380517,31.4%,68.6%,Vihiga,34.943582,0.304142
661941,96855,565086,14.6%,85.4%,Wajir,40.07933,1.895541
512690,42696,469994,8.3%,91.7%,West Pokot,35.316901,1.575837
